"URL","Size","# of Outlinks","Content-Type"
"https://www.latimes.com/","848962 Byte","425","text/html"
"https://www.latimes.com/people/anita-chabria","284857 Byte","196","text/html"
"https://www.latimes.com/delos/story/2024-02-16/selena-yolanda-saldivar-secrets-between-them-docuseries-oxygen-true-crime-exploitation","341385 Byte","212","text/html"
"https://www.latimes.com/espanol/","481868 Byte","187","text/html"
"https://www.latimes.com/california/story/2024-01-19/california-gun-concealed-carry-law-women-domestic-violence-newsom","372613 Byte","232","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2024-02-16/paul-mccartney-stolen-hofner-bass-guitar-return-grateful","339088 Byte","218","text/html"
"https://www.latimes.com/world-nation/story/2024-02-13/rafah-bombing-israel-gaza","346603 Byte","196","text/html"
"https://www.latimes.com/world-nation/story/2024-02-17/mediator-says-talks-on-gaza-not-progressing-as-expected-after-momentum-in-recent-weeks","316731 Byte","216","text/html"
"https://www.latimes.com/food/list/best-los-angeles-restaurants-2021","1551434 Byte","559","text/html"
"https://www.latimes.com/business/story/2024-02-16/column-sarah-silvermans-openai-copyright-lawsuit-ai","343533 Byte","225","text/html"
"https://www.latimes.com/environment/story/2024-02-15/falling-ev-sales-raise-worries-over-california-climate-plan","408236 Byte","226","text/html"
"https://www.latimes.com/topic/california-law-politics","442543 Byte","231","text/html"
"https://www.latimes.com/california/story/2024-01-24/defying-california-gun-law-shasta-county-passes-resolution-allowing-concealed-weapons-in-government-buildings","340287 Byte","214","text/html"
"https://www.latimes.com/california/story/2024-01-05/chabria-column-tinkering-with-prop-47-wont-solve-crime-fixing-san-quentin-will","341367 Byte","218","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-02-16/empresas-tecnologicas-acuerdan-combatir-enganos-electorales-generados-con-ia","259289 Byte","99","text/html"
"https://www.latimes.com/espanol/internacional/articulo/2024-02-17/jefe-de-agencia-de-onu-que-ayuda-a-palestinos-acusa-a-israel-de-intentar-destruir-la-organizacion","239318 Byte","98","text/html"
"https://www.latimes.com/business/autos","390079 Byte","215","text/html"
"https://www.latimes.com/delos/story/2024-02-10/yuri-euforia-tour-inglewood-youtube-theater","332247 Byte","197","text/html"
"https://www.latimes.com/california/story/2024-02-18/report-son-of-former-youtube-ceo-found-dead-in-uc-berkeley-dorm","306919 Byte","206","text/html"
"https://www.latimes.com/delos/story/2023-12-07/selena-gomez-benny-blanco-relationship","332682 Byte","207","text/html"
"https://www.latimes.com/california/story/2024-02-01/2024-california-election-dodgers-senate-candidate-steve-garvey-kids-family","438660 Byte","233","text/html"
